name,seed,size,initial_board,final_board,duration,states
backtracking,2039485700,8,"[2, ?, ?, ?, ?, 5, ?, ?]","[2, 7, 3, 6, 0, 5, 1, 4]",0.0005655288696289062,419
backtracking,2039485700,10,"[?, ?, ?, ?, ?, 2, 9, ?, ?, ?]","[0, 5, 3, 8, 6, 2, 9, 1, 4, 7]",0.00022530555725097656,202
backtracking,2039485700,12,"[?, 7, ?, ?, ?, 8, 0, ?, ?, ?, ?, ?]","[2, 7, 9, 1, 5, 8, 0, 11, 4, 6, 10, 3]",0.0009636878967285156,1044
backtracking,2039485700,15,"[?, ?, ?, ?, 8, ?, 12, ?, ?, ?, ?, 11, ?, ?, ?]","[1, 3, 0, 10, 8, 14, 12, 2, 7, 5, 13, 11, 9, 4, 6]",0.0014073848724365234,941

forward_checking,384927102,4,"[?, ?, ?, 0]",null,0.00010538101196289062,7
forward_checking,384927102,8,"[7, ?, ?, ?, ?, ?, 5, ?]",null,0.0006461143493652344,129
forward_checking,384927102,10,"[3, ?, ?, ?, 2, ?, ?, ?, ?, ?]","[3, 1, 8, 5, 2, 9, 7, 0, 4, 6]",0.0018744468688964844,318
forward_checking,384927102,12,"[3, 1, ?, ?, ?, ?, ?, 6, ?, ?, ?, ?]","[3, 1, 4, 8, 11, 0, 10, 6, 2, 5, 7, 9]",0.001300811767578125,231
forward_checking,384927102,15,"[5, 2, ?, ?, ?, ?, ?, 4, ?, ?, ?, ?, ?, ?, ?]","[5, 2, 0, 3, 11, 13, 8, 4, 14, 12, 9, 6, 1, 7, 10]",0.010050296783447266,1577

forward_checking,1298374650,4,"[?, ?, ?, 0]",null,5.507469177246094e-05,7
forward_checking,1298374650,8,"[?, ?, ?, 7, ?, ?, ?, 5]","[2, 4, 1, 7, 0, 6, 3, 5]",0.0004391670227050781,80
forward_checking,1298374650,10,"[?, 9, ?, ?, ?, ?, ?, ?, 3, ?]","[0, 9, 4, 6, 8, 2, 7, 1, 3, 5]",0.0001575946807861328,10
forward_checking,1298374650,12,"[?, ?, ?, ?, ?, ?, ?, 1, ?, 11, ?, 2]","[0, 5, 8, 4, 7, 10, 3, 1, 6, 11, 9, 2]",0.0006814002990722656,94
forward_checking,1298374650,15,"[?, ?, ?, ?, ?, ?, ?, ?, ?, 3, 7, ?, ?, ?, 12]","[0, 2, 6, 11, 9, 1, 5, 13, 10, 3, 7, 14, 4, 8, 12]",0.014826059341430664,1173

forward_checking,298374651,4,"[?, ?, 0, ?]","[1, 3, 0, 2]",5.054473876953125e-05,3
forward_checking,298374651,8,"[?, ?, ?, 4, 1, ?, ?, ?]","[3, 5, 0, 4, 1, 7, 2, 6]",0.00035262107849121094,71
forward_checking,298374651,10,"[?, ?, ?, ?, ?, 1, ?, ?, 8, ?]","[2, 7, 9, 0, 5, 1, 4, 6, 8, 3]",0.0013985633850097656,238
forward_checking,298374651,12,"[?, ?, ?, ?, ?, ?, 11, ?, 4, ?, ?, 5]","[0, 3, 1, 10, 7, 9, 11, 2, 4, 6, 8, 5]",0.0010366439819335938,161
forward_checking,298374651,15,"[?, ?, ?, ?, ?, ?, ?, ?, 6, ?, 9, ?, ?, 8, ?]","[0, 2, 4, 12, 7, 13, 10, 3, 6, 14, 9, 1, 5, 8, 11]",0.003310680389404297,358

forward_checking,1827364512,4,"[0, ?, ?, ?]",null,5.3882598876953125e-05,7
